xyzDMxyzCountry,xyzDMxyzRequestYear,xyzDPxyzsi_pov_nahc,xyzDMxyzFootnote,ymax
AFG,2007,33.7,0,2019
AFG,2011,38.3,0,2019
AFG,2016,54.5,0,2019
AFG,2019,47.1,0,2019
AGO,2008,36.6,1,2018
AGO,2018,32.3,2,2018
ALB,2002,25.4,0,2022
ALB,2005,18.5,0,2022
ALB,2016,23.7,0,2022
ALB,2017,23.4,0,2022
ALB,2018,23,0,2022
ALB,2019,21.8,0,2022
ALB,2020,22,0,2022
ALB,2021,20.6,0,2022
ALB,2022,19.7,0,2022
ARG,2016,30.3,0,2024
ARG,2017,25.7,0,2024
ARG,2018,32,0,2024
ARG,2019,35.5,0,2024
ARG,2020,42,0,2024
ARG,2021,37.3,0,2024
ARG,2022,39.2,0,2024
ARG,2023,41.7,0,2024
ARG,2024,38.1,0,2024
ARM,2004,53.5,0,2024
ARM,2005,40.1,0,2024
ARM,2006,30.2,0,2024
ARM,2007,26.4,0,2024
ARM,2008,27.6,0,2024
ARM,2009,34.1,0,2024
ARM,2010,35.8,0,2024
ARM,2011,35,0,2024
ARM,2012,32.4,0,2024
ARM,2013,32,0,2024
ARM,2014,30,0,2024
ARM,2015,29.8,0,2024
ARM,2016,29.4,0,2024
ARM,2017,25.7,0,2024
ARM,2018,23.5,0,2024
ARM,2019,26.4,1,2024
ARM,2020,27,1,2024
ARM,2021,26.5,1,2024
ARM,2022,24.8,1,2024
ARM,2023,23.7,1,2024
ARM,2024,21.7,2,2024
AUT,1994,13,0,2021
AUT,1995,14,0,2021
AUT,1996,13,0,2021
AUT,1997,13,0,2021
AUT,1998,12,0,2021
AUT,1999,12,0,2021
AUT,2000,12,0,2021
AUT,2002,13.2,1,2021
AUT,2003,13,1,2021
AUT,2004,12.6,1,2021
AUT,2005,12.6,1,2021
AUT,2006,12,1,2021
AUT,2007,15.2,1,2021
AUT,2008,14.5,1,2021
AUT,2009,14.7,1,2021
AUT,2010,14.5,1,2021
AUT,2011,14.4,1,2021
AUT,2012,14.4,1,2021
AUT,2013,14.1,1,2021
AUT,2014,13.9,1,2021
AUT,2015,14.1,1,2021
AUT,2016,14.4,1,2021
AUT,2017,14.3,1,2021
AUT,2018,13.3,1,2021
AUT,2019,13.9,1,2021
AUT,2020,14.7,1,2021
AUT,2021,14.8,1,2021
AZE,2001,49.6,0,2012
AZE,2007,15.8,0,2012
AZE,2008,13.2,0,2012
AZE,2009,10.9,0,2012
AZE,2010,9.1,0,2012
AZE,2011,7.6,0,2012
AZE,2012,6,0,2012
BDI,2006,67.1,1,2020
BDI,2013,64.9,2,2020
BDI,2020,51,3,2020
BEL,1994,16,0,2022
BEL,1995,15,0,2022
BEL,1996,14,0,2022
BEL,1997,14,0,2022
BEL,1998,13,0,2022
BEL,1999,13,0,2022
BEL,2000,13,0,2022
BEL,2002,15.4,1,2022
BEL,2003,14.3,1,2022
BEL,2004,14.8,1,2022
BEL,2005,14.7,1,2022
BEL,2006,15.2,1,2022
BEL,2007,14.7,1,2022
BEL,2008,14.6,1,2022
BEL,2009,14.6,1,2022
BEL,2010,15.3,1,2022
BEL,2011,15.3,1,2022
BEL,2012,15.1,1,2022
BEL,2013,15.5,1,2022
BEL,2014,14.9,1,2022
BEL,2015,15.5,1,2022
BEL,2016,15.9,1,2022
BEL,2017,16.4,1,2022
BEL,2018,14.8,2,2022
BEL,2019,14.1,2,2022
BEL,2020,12.7,2,2022
BEL,2021,13.2,2,2022
BEL,2022,12.3,2,2022
BEN,2006,37.5,0,2026
BEN,2007,33,0,2026
BEN,2010,35.2,0,2026
BEN,2011,36.2,0,2026
BEN,2015,40.1,0,2026
BEN,2019,38.5,0,2026
BEN,2021,36.2,1,2026
BEN,2022,34.5,1,2026
BEN,2023,33.3,1,2026
BEN,2024,31.3,1,2026
BEN,2025,28.8,1,2026
BEN,2026,26.5,1,2026
BFA,2003,51.1,0,2021
BFA,2009,46.7,0,2021
BFA,2014,40.1,0,2021
BFA,2018,41.4,1,2021
BFA,2021,43.2,1,2021
BGD,2000,48.9,0,2022
BGD,2005,40,0,2022
BGD,2010,31.5,0,2022
BGD,2016,24.3,0,2022
BGD,2022,18.7,1,2022
BGR,2000,14,0,2023
BGR,2001,16,0,2023
BGR,2002,14,0,2023
BGR,2005,18.4,1,2023
BGR,2006,22,1,2023
BGR,2007,21.4,1,2023
BGR,2008,21.8,1,2023
BGR,2009,20.7,1,2023
BGR,2010,22.2,1,2023
BGR,2011,21.2,1,2023
BGR,2012,21,1,2023
BGR,2013,21.8,1,2023
BGR,2014,22,1,2023
BGR,2015,22.9,2,2023
BGR,2016,23.4,2,2023
BGR,2017,22,2,2023
BGR,2018,22.6,2,2023
BGR,2019,23.8,2,2023
BGR,2020,22.1,2,2023
BGR,2021,22.9,2,2023
BGR,2022,20.6,2,2023
BGR,2023,21.7,2,2023
BIH,2007,18.2,0,2015
BIH,2011,17.9,0,2015
BIH,2015,16.9,0,2015
BLR,2000,41.9,0,2024
BLR,2001,28.9,0,2024
BLR,2002,30.5,0,2024
BLR,2003,27.1,0,2024
BLR,2004,17.8,0,2024
BLR,2005,12.7,0,2024
BLR,2006,11.1,0,2024
BLR,2007,7.7,0,2024
BLR,2008,6.1,0,2024
BLR,2009,5.4,0,2024
BLR,2010,5.2,0,2024
BLR,2011,7.3,0,2024
BLR,2012,6.3,0,2024
BLR,2013,5.5,0,2024
BLR,2014,4.8,0,2024
BLR,2015,5.1,0,2024
BLR,2016,5.7,0,2024
BLR,2017,5.9,0,2024
BLR,2018,5.6,0,2024
BLR,2019,5,0,2024
BLR,2020,4.8,0,2024
BLR,2021,4.1,0,2024
BLR,2022,3.9,0,2024
BLR,2023,3.6,0,2024
BLR,2024,3.5,0,2024
BLZ,2002,34.1,0,2018
BLZ,2009,41.3,0,2018
BLZ,2018,52,0,2018
BOL,2000,66.4,0,2024
BOL,2001,63.1,0,2024
BOL,2002,63.3,0,2024
BOL,2004,63.1,1,2024
BOL,2005,60.6,2,2024
BOL,2006,59.9,2,2024
BOL,2007,60.1,2,2024
BOL,2008,57.3,2,2024
BOL,2009,51.3,2,2024
BOL,2011,45.1,2,2024
BOL,2012,43.3,2,2024
BOL,2013,38.9,2,2024
BOL,2014,39.1,2,2024
BOL,2015,38.6,2,2024
BOL,2016,43,3,2024
BOL,2017,42.2,3,2024
BOL,2018,39.9,3,2024
BOL,2019,37.2,3,2024
BOL,2020,39,3,2024
BOL,2021,36.4,3,2024
